"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.D8"	"SeuratProject"	1393181	6756	0	1.82007937231415	0.0293330876056523	-0.0421577165853153	"S"	"2"	"1"	"1"	"10"	"10"	0.242352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Fibroblasts"	"Tumor"	-0.323395516241549	-9.90402924712849	18.1425950233299	18.1425950233299
"X1001000173.E5"	"SeuratProject"	1643217	5566	0	1.17032625636176	0.0822404864209817	-0.0869347178251692	"S"	"2"	"1"	"1"	"4"	"4"	0.291764705882353	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Tumor"	-1.72210712310171	-10.8739913671846	17.0778644265921	17.0778644265921
"X1001000173.B9"	"SeuratProject"	1583282	6809	0	2.75314189133711	0.0450415428740588	-0.0479368713663501	"S"	"2"	"1"	"1"	"4"	"4"	0.282352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"Monocytes"	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	0.0154443872323052	-10.409468051755	13.3135261874837	13.3135261874837
"X1001000173.C7"	"SeuratProject"	1518610	3364	0	1.7969063814936	-0.0418034937026695	-0.00395615054794349	"G1"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Epithelial cells"	"Tumor"	0.94139545086527	-8.7642940252657	6.61030892854032	6.61030892854032
"X1001000173.H4"	"SeuratProject"	870360	2692	0	2.64419320740843	0.0219905521758478	-0.0112899335598669	"S"	"2"	"1"	"1"	"4"	"4"	0.247058823529412	"Singlet"	"Chondrocytes"	"Tissue_stem_cells:BM_MSC:TGFb3"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	NA	NA	"B cells"	"CD4+ Central Memory"	"Chondrocytes"	"Chondrocytes"	"Tumor"	0.708149362837316	-8.28470647033406	8.99249565412488	8.99249565412488
"X1001000173.D1"	"SeuratProject"	1108169	3137	0	2.4137112660614	0.00304917639199039	-0.0286879325722229	"S"	"1"	"0"	"0"	"6"	"6"	0.287058823529412	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Macrophages"	"Macrophages"	"Tumor"	6.55065589073801	5.11577570740032	-28.3772508742362	-28.3772508742362
"X1001000174.G5"	"SeuratProject"	655883	5091	0	1.72103866085872	-0.00244095401962896	-0.044472356484432	"G1"	"2"	"1"	"1"	"4"	"4"	0.258823529411765	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"CD4+ T cells"	"Naive CD8+ T cells"	"Fibroblasts"	"Mesangial cells"	"Tumor"	1.50878100517893	-8.97682368453694	7.09378871632043	7.09378871632043
"X1001000174.H2"	"SeuratProject"	737453	3200	0	1.17838018151665	-0.0569895301361479	-0.0222958629321297	"G1"	"1"	"0"	"0"	"6"	"6"	0.263529411764706	"Singlet"	"Macrophage"	"Macrophage:monocyte-derived:IL-4/Dex/TGFb"	"Monocytes"	"Monocytes, CD14+"	"Monocytes"	"Intermediate monocytes"	"Monocytes"	"Monocytes"	"Macrophages"	"Macrophages"	"Tumor"	6.51308636788035	5.15415537658977	-28.3797382865006	-28.3797382865006
"X1001000174.C8"	"SeuratProject"	953137	5130	0	1.4081921066961	-0.0161278621541895	-0.0653888197892317	"G1"	"2"	"1"	"1"	"4"	"4"	0.249411764705882	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	1.51556377533579	-9.03661763366413	6.43438454880631	6.43438454880631
"X1001000174.B4"	"SeuratProject"	943819	1286	0	0.392977890887977	0.0072034640846356	-0.0157102832455647	"S"	"2"	"1"	"1"	"4"	"4"	0.195294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Basophils"	"Progenitor cells"	"CMPs"	"Common myeloid progenitors"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.509913343454359	-8.84097039397908	13.7103546667987	13.7103546667987
