"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.B2"	"SeuratProject"	1124047	4183	0	1.19318854104855	0.34940161636347	0.0488607833077718	"S"	"2"	"1"	"1"	"3"	"3"	0.230588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Naive CD8+ T cells"	"Neurons"	"Fibroblasts"	"Myeloid"	-3.30651397582388	-10.354741451108	24.6415866660516	24.6415866660516
"X1001000174.H9"	"SeuratProject"	830658	3790	0	0.751452462987174	0.152365458281047	-0.0204462828879955	"S"	"2"	"1"	"1"	"3"	"3"	0.247058823529412	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Naive CD8 T cells"	"Erythroid cells"	"Erythroid_CD34- CD71lo GlyA+"	"Fibroblasts"	"Fibroblasts"	"Myeloid"	-3.8566002356658	-10.6997932165499	27.4478813115084	27.4478813115084
"X1001000174.E12"	"SeuratProject"	663641	1298	0	0.0878487013309907	-0.0169408613009893	0.00145671499191598	"G2M"	"2"	"1"	"1"	"3"	"3"	0.0729411764705882	"Singlet"	"Astrocyte"	NA	"T cells, CD4+"	NA	"Progenitors"	"Progenitor cells"	"CD4+ T cells"	"Naive CD4+ T cells"	"Adipocytes"	"Adipocytes"	"Myeloid"	-2.35843558188772	-7.58273636993122	16.7979481104851	16.7979481104851
"X1001000174.A10"	"SeuratProject"	1305093	3862	0	0.793046932287584	-0.0294399302851095	-0.0345959834079088	"G1"	"2"	"1"	"1"	"3"	"3"	0.270588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Astrocytes"	"Myeloid"	-3.97913856383657	-11.0325549810762	23.4422525373397	23.4422525373397
"X1001000174.G10"	"SeuratProject"	706394	1563	0	0.187572374623794	-0.0452822460459506	-0.0106893393022253	"G1"	"2"	"1"	"1"	"3"	"3"	0.232941176470588	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD133+ CD34dim"	"Fibroblasts"	"Fibroblasts"	"Myeloid"	-2.36881811496115	-8.82569014724446	20.1901009360128	20.1901009360128
"X1001000174.F6"	"SeuratProject"	823472	3139	0	0.552902830940214	0.253547004473096	0.0192636209498892	"S"	"2"	"1"	"1"	"3"	"3"	0.294117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34+ CD71+ GlyA-"	"Neurons"	"Fibroblasts"	"Myeloid"	-5.93567843314504	-8.06051003631306	23.8650075692255	23.8650075692255
"X1001000174.H7"	"SeuratProject"	950289	2723	0	0.804176413701516	-0.0358983742849168	-0.0311276607425756	"G1"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Myeloid"	-1.57449610110617	-9.39492785628987	21.5515625917998	21.5515625917998
"X1001000174.B11"	"SeuratProject"	856159	2814	0	1.0849620222412	0.0118042679896846	-0.0391794392070987	"S"	"1"	"0"	"0"	"0"	"0"	0.270588235294118	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34+ CD71+ GlyA-"	"Neurons"	"Neurons"	"Myeloid"	-3.24102110740042	-10.1081508367891	25.8715918209084	25.8715918209084
"X1001000174.F10"	"SeuratProject"	583000	3782	0	0.567581475128645	0.0757159689401087	-0.096703745604922	"S"	"2"	"1"	"1"	"3"	"3"	0.242352941176471	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Fibroblasts"	"Myeloid"	-3.55466885444021	-10.7484134405489	27.4714804261042	27.4714804261042
"X1001000174.A5"	"SeuratProject"	880474	3844	0	0.611034510956598	0.029682026599541	0.00909201355413014	"S"	"2"	"1"	"1"	"3"	"3"	0.228235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Astrocytes"	"Myeloid"	-3.63988942977285	-10.5333598821993	24.4283024949793	24.4283024949793
