"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"percent.mt"	"percent.rp"	"S.Score"	"G2M.Score"	"Phase"	"RNA_snn_res.0.1"	"RNA_snn_res.0.15"	"RNA_snn_res.0.25"	"RNA_snn_res.0.75"	"seurat_clusters"	"pANN_0.25_0.09_142"	"DF.classifications_0.25_0.09_142"	"hpca.main"	"hpca.fine"	"dice.main"	"dice.fine"	"monaco.main"	"monaco.fine"	"northern.main"	"northern.fine"	"blue.main"	"blue.fine"	"seurat_clusters_gabby_annotation"	"UMAP_1"	"UMAP_2"	"tSNE_1"	"tSNE_2"
"X1001000173.G6"	"SeuratProject"	605954	1862	0	0.281209464744849	0.00121454846902821	-0.0010745606015334	"S"	"2"	"1"	"1"	"3"	"3"	0.235294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"Monocytes, CD16+"	"Progenitors"	NA	NA	"Erythroid_CD34+ CD71+ GlyA-"	"Astrocytes"	"Astrocytes"	"Myeloid"	-2.21049566146231	-9.22510325607014	18.2577462979534	18.2577462979534
"X1001000173.A9"	"SeuratProject"	1175019	3495	0	1.3845733558351	-0.012060737507245	0.007181086261642	"G2M"	"2"	"1"	"1"	"4"	"4"	0.244705882352941	"Singlet"	"Tissue_stem_cells"	"Tissue_stem_cells:BM_MSC:BMP2"	NA	NA	"Progenitors"	NA	"CD4+ T cells"	"CD8+ Effector Memory RA"	"Fibroblasts"	"Fibroblasts"	"Tumor"	1.00472765091562	-8.90921342071247	9.72873275644909	9.72873275644909
"X1001000173.D2"	"SeuratProject"	1006490	4952	0	1.28694770936621	0.0318797302323141	-0.0227597295170191	"S"	"2"	"1"	"1"	"3"	"3"	0.254117647058824	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Erythroid_CD34+ CD71+ GlyA-"	"Neurons"	"Neurons"	"Myeloid"	-3.43006772872305	-11.0579227178926	23.3008444665594	23.3008444665594
"X1001000173.F2"	"SeuratProject"	709439	2533	0	0.764829675278636	-0.0128917119550502	0.0100529913573464	"G2M"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"B cells"	NA	NA	"Progenitor cells"	"CMPs"	"Common myeloid progenitors"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.020656000340937	-8.7752164572115	12.0869574266766	12.0869574266766
"X1001000173.H9"	"SeuratProject"	1081237	4556	0	3.87519110056352	-0.00345737597216365	-0.0604470627893422	"G1"	"2"	"1"	"1"	"4"	"4"	0.237647058823529	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Astrocytes"	"Tumor"	1.46538977745676	-8.72628819640827	7.17878660355332	7.17878660355332
"X1001000173.G1"	"SeuratProject"	920954	2435	0	1.67576230734651	-0.0252523564045476	0.0106744847464721	"G2M"	"2"	"1"	"1"	"4"	"4"	0.223529411764706	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD4+"	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.741646673048495	-9.35073220428181	13.7041585704155	13.7041585704155
"X1001000173.B3"	"SeuratProject"	1295164	6389	0	2.2905979474414	0.0306798699821033	-0.0568452208736632	"S"	"2"	"1"	"1"	"4"	"4"	0.275294117647059	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	"T cells, CD8+, naive, stimulated"	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Astrocytes"	"Astrocytes"	"Tumor"	-0.317081566418169	-10.5090001791353	13.9780247612164	13.9780247612164
"X1001000173.D7"	"SeuratProject"	1149579	4932	0	2.63235497516917	0.0010511123146882	-0.0535452752583964	"S"	"2"	"1"	"1"	"4"	"4"	0.268235294117647	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	NA	NA	"Progenitors"	"Progenitor cells"	"Erythroid cells"	"Hematopoietic stem cells_CD38- CD34+"	"Mesangial cells"	"Fibroblasts"	"Tumor"	1.23608617905283	-9.1750868528719	6.10705151105961	6.10705151105961
"X1001000173.A12"	"SeuratProject"	1273551	3812	0	1.30917411238341	-0.0560462431956215	-0.0277801016998291	"G1"	"2"	"1"	"1"	"3"	"3"	0.237647058823529	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	"T cells, CD8+, naive"	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Neurons"	"Neurons"	"Myeloid"	-4.37204785224294	-10.7308963507051	28.2516511275462	28.2516511275462
"X1001000173.C1"	"SeuratProject"	1223584	4698	0	4.14552658419855	-0.0193373252782161	-0.033318926816673	"G1"	"2"	"1"	"1"	"4"	"4"	0.256470588235294	"Singlet"	"Astrocyte"	"Astrocyte:Embryonic_stem_cell-derived"	"T cells, CD8+"	NA	"Progenitors"	"Progenitor cells"	"HSCs"	"Hematopoietic stem cells_CD38- CD34+"	"Fibroblasts"	"Astrocytes"	"Tumor"	1.25713067177439	-9.14813124831868	12.0985672360821	12.0985672360821
